date,sex,age_range,at_code,events,daily_population,max_hum,min_hum,max_temp,min_temp,season,incidence,day_of_week
2010-01-01,Male,60-64,AT06,1,12837.0,97.0,32.0,12.1,-2.0,winter,7.789982083041209,4
2010-01-02,Male,60-64,AT01,1,129543.6408839779,100.0,41.0,13.5,-0.6,winter,0.7719406318798941,5
2010-01-02,Male,65-69,AT01,3,105905.14364640883,100.0,41.0,13.5,-0.6,winter,2.832723602185235,5
2010-01-02,Male,75-79,AT02,1,11168.110497237569,100.0,25.0,12.9,-6.9,winter,8.954066135425057,5
2010-01-02,Male,75-79,AT06,1,8665.121546961325,100.0,31.0,9.4,-4.2,winter,11.540519017308867,5
2010-01-03,Male,55-59,AT01,1,134446.3535911602,100.0,53.0,16.0,-0.6,winter,0.743791090862095,6
2010-01-03,Male,60-64,AT01,1,129538.2817679558,100.0,53.0,16.0,-0.6,winter,0.7719725677628777,6
2010-01-03,Male,55-59,AT02,1,20629.812154696134,95.0,41.0,14.1,-3.9,winter,4.847353880400514,6
2010-01-04,Female,70-74,AT06,2,9994.099447513812,100.0,68.0,10.4,-0.9,winter,20.011808072387463,0
2010-01-04,Female,75-79,AT06,1,11749.707182320442,100.0,68.0,10.4,-0.9,winter,8.51085039382667,0
2010-01-04,Male,35-39,AT05,1,16813.13259668508,100.0,68.0,11.8,1.7,winter,5.9477315976034255,0
2010-01-04,Male,45-49,AT02,1,28044.740331491714,100.0,24.0,12.2,-3.8,winter,3.565731000465318,0
2010-01-04,Male,70-74,AT03,1,9252.060773480664,100.0,60.0,12.8,2.4,winter,10.808402846491418,0
2010-01-05,Male,35-39,AT06,1,23436.03314917127,100.0,69.0,8.9,-0.2,winter,4.2669337154242815,1
2010-01-05,Male,45-49,AT01,1,178373.28729281767,100.0,64.0,12.4,1.8,winter,0.560622061283425,1
2010-01-05,Male,50-54,AT01,1,155242.0497237569,100.0,64.0,12.4,1.8,winter,0.6441553701329212,1
2010-01-05,Male,65-69,AT01,1,105911.57458563536,100.0,64.0,12.4,1.8,winter,0.9441838665059642,1
2010-01-05,Male,70-74,AT01,1,81393.66850828729,100.0,64.0,12.4,1.8,winter,1.228596791774022,1
2010-01-05,Male,75-79,AT01,1,74987.44198895028,100.0,64.0,12.4,1.8,winter,1.3335566242509704,1
2010-01-05,Male,60-64,AT08,1,11995.298342541437,100.0,52.0,11.3,0.0,winter,8.336599652994797,1
2010-01-05,Male,65-69,AT03,1,12589.773480662983,100.0,50.0,11.4,-1.4,winter,7.9429546650377025,1
2010-01-06,Male,45-49,AT01,2,178386.3591160221,100.0,33.0,11.8,-3.5,winter,1.121161959866676,2
2010-01-07,Female,65-69,AT05,1,7822.6629834254145,99.0,62.0,4.4,-2.5,winter,12.783370600507663,3
2010-01-07,Female,75-79,AT01,2,104157.69613259668,100.0,46.0,8.8,-2.4,winter,1.9201653591242307,3
2010-01-07,Female,80-84,AT01,1,81710.09392265194,100.0,46.0,8.8,-2.4,winter,1.223839004452272,3
2010-01-07,Male,60-64,AT01,1,129516.8453038674,100.0,46.0,8.8,-2.4,winter,0.7721003377235129,3
2010-01-07,Male,75-79,AT01,1,74991.66298342541,100.0,46.0,8.8,-2.4,winter,1.3334815634386172,3
2010-01-08,Male,45-49,AT01,1,178412.50276243093,99.0,39.0,9.4,-2.9,winter,0.5604988352927104,4
2010-01-08,Male,50-54,AT02,1,24171.270718232045,99.0,25.0,10.9,-15.0,winter,4.137142857142857,4
2010-01-08,Male,50-54,AT03,1,19791.86740331492,100.0,45.0,5.3,-8.3,winter,5.0525803332358175,4
2010-01-08,Male,60-64,AT03,1,15630.740331491712,100.0,45.0,5.3,-8.3,winter,6.397649623705095,4
2010-01-08,Male,85-89,AT04,1,1514.6961325966852,99.0,38.0,4.8,-7.7,winter,66.0198424277794,4
2010-01-09,Female,70-74,AT01,1,99643.24309392265,97.0,29.0,8.3,-6.2,winter,1.0035803421787575,5
2010-01-09,Female,75-79,AT06,1,11747.552486187846,97.0,23.0,6.1,-7.9,winter,8.512411425067029,5
2010-01-09,Female,80-84,AT06,1,9296.690607734807,97.0,23.0,6.1,-7.9,winter,10.756515863483768,5
2010-01-09,Male,70-74,AT06,1,8260.53038674033,97.0,23.0,6.1,-7.9,winter,12.10576020161107,5
2010-01-09,Male,60-64,AT02,1,18363.977900552487,99.0,28.0,7.2,-14.8,winter,5.445443277133951,5
2010-01-10,Female,55-59,AT01,1,145818.53038674034,92.0,25.0,9.0,-6.2,winter,0.6857838968393091,6
2010-01-10,Male,45-49,AT01,2,178438.6464088398,92.0,25.0,9.0,-6.2,winter,1.120833429445316,6
2010-01-10,Male,50-54,AT01,2,155290.86187845303,92.0,25.0,9.0,-6.2,winter,1.2879057890511358,6
2010-01-10,Male,60-64,AT03,1,15631.237569060773,94.0,38.0,9.1,-7.8,winter,6.397446111236389,6
2010-01-11,Female,45-49,AT01,1,179135.9502762431,93.0,33.0,9.8,-4.6,winter,0.5582352389109576,0
2010-01-11,Male,40-44,AT01,1,207004.13812154697,93.0,33.0,9.8,-4.6,winter,0.48308213018081225,0
2010-01-11,Male,50-54,AT01,1,155300.62430939227,93.0,33.0,9.8,-4.6,winter,0.6439124146776027,0
2010-01-11,Male,55-59,AT01,1,134503.7679558011,93.0,33.0,9.8,-4.6,winter,0.7434735957200895,0
2010-01-11,Male,60-64,AT01,1,129495.408839779,93.0,33.0,9.8,-4.6,winter,0.7722281499858205,0
2010-01-11,Male,80-84,AT01,1,48240.95027624309,93.0,33.0,9.8,-4.6,winter,2.0729276564281602,0
2010-01-11,Male,85-89,AT01,2,23990.662983425413,93.0,33.0,9.8,-4.6,winter,8.336576614751136,0
2010-01-11,Male,35-39,AT05,1,16820.441988950275,97.0,55.0,7.1,-4.5,winter,5.945146986368862,0
2010-01-11,Male,65-69,AT05,1,7127.027624309392,97.0,55.0,7.1,-4.5,winter,14.031094766479171,0
2010-01-11,Male,60-64,AT08,1,11998.745856353591,98.0,40.0,9.8,-4.2,winter,8.334204357453563,0
2010-01-12,Female,65-69,AT01,1,119332.23756906077,100.0,48.0,9.6,-5.9,winter,0.8379965216199631,1
2010-01-12,Female,75-79,AT01,1,104158.27624309392,100.0,48.0,9.6,-5.9,winter,0.9600773323726195,1
2010-01-12,Male,50-54,AT01,1,155310.38674033148,100.0,48.0,9.6,-5.9,winter,0.6438719399185663,1
2010-01-12,Male,65-69,AT01,1,105926.58011049723,100.0,48.0,9.6,-5.9,winter,0.9440501137267442,1
2010-01-12,Male,60-64,AT05,1,8556.861878453039,100.0,67.0,4.8,-6.4,winter,11.686527306442699,1
2010-01-13,Female,65-69,AT01,1,119337.0773480663,100.0,35.0,15.1,0.2,winter,0.8379625362227825,2
2010-01-13,Female,75-79,AT01,1,104158.39226519337,100.0,35.0,15.1,0.2,winter,0.9600762629418678,2
2010-01-13,Male,55-59,AT01,1,134518.12154696134,100.0,35.0,15.1,0.2,winter,0.7433942642820002,2
2010-01-13,Male,80-84,AT01,1,48252.74033149171,100.0,35.0,15.1,0.2,winter,2.0724211581147425,2
2010-01-14,Female,40-44,AT01,1,197956.60220994474,100.0,50.0,16.1,2.7,winter,0.5051612266710057,3
2010-01-14,Female,65-69,AT01,1,119341.91712707182,100.0,50.0,16.1,2.7,winter,0.8379285535820822,3
2010-01-14,Female,70-74,AT01,1,99675.89502762431,100.0,50.0,16.1,2.7,winter,1.0032515882830635,3
2010-01-14,Female,80-84,AT01,1,81753.37016574586,100.0,50.0,16.1,2.7,winter,1.2231911638292234,3
2010-01-14,Male,30-34,AT01,1,240621.86187845303,100.0,50.0,16.1,2.7,winter,0.4155898355175794,3
2010-01-14,Male,50-54,AT01,1,155329.91160220993,100.0,50.0,16.1,2.7,winter,0.6437910056634402,3
2010-01-14,Male,85-89,AT01,1,24002.861878453037,100.0,50.0,16.1,2.7,winter,4.166169872008817,3
2010-01-14,Male,40-44,AT03,1,26412.67955801105,100.0,48.0,13.5,1.4,winter,3.7860603949844114,3
2010-01-14,Male,45-49,AT02,1,28060.54143646409,100.0,47.0,17.4,-6.2,winter,3.5637231101340077,3
2010-01-14,Male,55-59,AT05,1,9813.977900552487,100.0,57.0,11.8,2.7,winter,10.189548113244722,3
2010-01-15,Female,30-34,AT01,1,225491.29834254144,98.0,28.0,18.0,-0.5,winter,0.4434760930246233,4
2010-01-15,Female,45-49,AT01,2,179179.53038674034,98.0,28.0,18.0,-0.5,winter,1.116198929466557,4
