date,at_code,Maximum Relative Humidity,Minimum Relative Humidity,Maximum Temperature,Minimum Temperature,daily_diff_temp,daily_diff_hum,maximum_temperature_change,minimum_temperature_change,maximum_relative_humidity_change,minimum_relative_humidity_change
2010-01-01,AT01,96.0,31.0,15.1,-0.7,15.799999999999999,65.0,,,,
2010-01-01,AT02,97.0,32.0,15.9,-6.8,22.7,65.0,-1.5999999999999996,0.09999999999999998,4.0,10.0
2010-01-01,AT03,88.0,33.0,15.6,0.0,15.6,55.0,2.5,0.0,0.0,12.0
2010-01-01,AT04,84.0,25.0,17.3,-0.1,17.400000000000002,59.0,-4.0,2.4,0.0,8.0
2010-01-01,AT05,94.0,42.0,13.8,0.0,13.8,52.0,0.40000000000000036,0.0,0.0,3.0
2010-01-01,AT06,97.0,32.0,12.1,-2.0,14.1,65.0,-0.5999999999999996,-5.3,0.0,-31.0
2010-01-01,AT07,100.0,46.0,10.3,-10.7,21.0,54.0,-3.0,1.1,0.0,13.0
2010-01-01,AT08,93.0,37.0,14.7,0.7,14.0,56.0,0.5999999999999996,-0.5,-1.0,-7.0
2010-01-02,AT01,100.0,41.0,13.5,-0.6,14.1,59.0,-1.0999999999999996,-3.3000000000000003,-2.0,-10.0
2010-01-02,AT02,100.0,25.0,12.9,-6.9,19.8,75.0,0.6999999999999993,0.0,-5.0,-4.0
2010-01-02,AT03,96.0,39.0,14.4,-1.6,16.0,57.0,0.8000000000000007,1.6000000000000005,1.0,8.0
2010-01-02,AT04,95.0,33.0,15.6,-0.4,16.0,62.0,-0.20000000000000107,-1.3000000000000007,7.0,15.0
2010-01-02,AT05,98.0,46.0,14.1,-2.3,16.4,52.0,5.5,6.1000000000000005,0.0,-13.0
2010-01-02,AT06,100.0,31.0,9.4,-4.2,13.600000000000001,69.0,1.0000000000000018,2.5,0.0,15.0
2010-01-02,AT07,100.0,43.0,9.8,-10.7,20.5,57.0,1.8999999999999986,-3.2,-2.0,-22.0
2010-01-02,AT08,97.0,43.0,13.8,0.3,13.5,54.0,-2.1999999999999993,-0.5,-1.0,10.0
2010-01-03,AT01,100.0,53.0,16.0,-0.6,16.6,47.0,-2.6000000000000014,6.0,3.0,33.0
2010-01-03,AT02,95.0,41.0,14.1,-3.9,18.0,54.0,-1.0,-0.7999999999999998,0.0,-1.0
2010-01-03,AT03,100.0,54.0,15.8,-1.8,17.6,46.0,-0.1999999999999993,-0.30000000000000027,0.0,12.0
2010-01-03,AT04,99.0,34.0,14.3,-1.2,15.5,65.0,4.300000000000001,-1.2999999999999998,0.0,-28.0
2010-01-03,AT05,98.0,57.0,11.7,-2.6,14.299999999999999,41.0,-0.7000000000000011,-2.3000000000000003,0.0,-19.0
2010-01-03,AT06,100.0,55.0,13.2,-3.7,16.9,45.0,0.7999999999999989,-1.6,-2.0,-11.0
2010-01-03,AT07,100.0,47.0,9.3,-7.4,16.700000000000003,53.0,-2.8999999999999986,0.0,0.0,29.0
2010-01-03,AT08,100.0,57.0,15.8,-1.0,16.8,43.0,1.8000000000000007,3.8,2.0,-4.0
2010-01-04,AT01,100.0,61.0,12.0,1.8,10.2,39.0,-3.700000000000001,-2.9,0.0,-11.0
2010-01-04,AT02,100.0,24.0,12.2,-3.8,16.0,76.0,2.0999999999999996,-1.6,-3.0,-7.0
2010-01-04,AT03,100.0,60.0,12.8,2.4,10.4,40.0,-0.29999999999999893,-1.6,3.0,2.0
2010-01-04,AT04,100.0,71.0,12.3,3.0,9.3,29.0,-0.8000000000000007,0.5,-5.0,-19.0
2010-01-04,AT05,100.0,68.0,11.8,1.7,10.100000000000001,32.0,0.40000000000000036,0.8999999999999999,4.0,25.0
2010-01-04,AT06,100.0,68.0,10.4,-0.9,11.3,32.0,1.6999999999999993,1.9000000000000001,1.0,-17.0
2010-01-04,AT07,100.0,20.0,8.6,-6.1,14.7,80.0,-4.6,-1.7,0.0,32.0
2010-01-04,AT08,100.0,59.0,12.5,2.6,9.9,41.0,2.3000000000000007,-1.4,0.0,-23.0
2010-01-05,AT01,100.0,64.0,12.4,1.8,10.6,36.0,0.7999999999999989,-0.20000000000000018,0.0,7.0
2010-01-05,AT02,100.0,57.0,10.4,-5.2,15.600000000000001,43.0,3.0,-0.8000000000000003,-2.0,-27.0
2010-01-05,AT03,100.0,50.0,11.4,-1.4,12.8,50.0,-3.6999999999999993,1.2000000000000002,2.0,-7.0
2010-01-05,AT04,100.0,48.0,13.9,-1.9,15.8,52.0,5.300000000000001,5.1,0.0,25.0
2010-01-05,AT05,100.0,61.0,10.5,0.3,10.2,39.0,0.5999999999999979,-2.4,-3.0,2.0
2010-01-05,AT06,100.0,69.0,8.9,-0.2,9.1,31.0,-1.1999999999999993,-0.5,0.0,-8.0
2010-01-05,AT07,100.0,42.0,7.9,-9.4,17.3,58.0,-4.699999999999999,3.0,3.0,32.0
2010-01-05,AT08,100.0,52.0,11.3,0.0,11.3,48.0,-2.0999999999999996,-2.5,0.0,-4.0
2010-01-06,AT01,100.0,33.0,11.8,-3.5,15.3,67.0,3.799999999999999,-4.3,0.0,-29.0
2010-01-06,AT02,100.0,10.0,11.2,-10.8,22.0,90.0,-5.399999999999999,-3.7,-4.0,-10.0
2010-01-06,AT03,94.0,35.0,12.2,-3.6,15.799999999999999,59.0,1.0,1.0,-3.0,11.0
2010-01-06,AT04,95.0,35.0,13.4,-3.3,16.7,60.0,-2.200000000000001,2.2,7.0,17.0
2010-01-06,AT05,99.0,38.0,10.4,-3.1,13.5,61.0,1.700000000000001,-1.2000000000000002,0.0,-3.0
2010-01-06,AT06,100.0,46.0,9.1,-4.9,14.0,54.0,-1.4000000000000004,-0.40000000000000036,0.0,12.0
2010-01-06,AT07,100.0,11.0,8.4,-13.3,21.700000000000003,89.0,5.5,7.7,0.0,15.0
2010-01-06,AT08,95.0,34.0,12.1,-2.1,14.2,61.0,2.299999999999999,3.0,0.0,-4.0
2010-01-07,AT01,100.0,46.0,8.8,-2.4,11.200000000000001,54.0,1.8000000000000007,-1.9,0.0,-16.0
2010-01-07,AT02,100.0,29.0,6.7,-11.5,18.2,71.0,-0.8999999999999986,-2.7,0.0,-1.0
2010-01-07,AT03,100.0,54.0,7.6,-3.0,10.6,46.0,-1.0000000000000018,-2.4000000000000004,0.0,-14.0
2010-01-07,AT04,99.0,63.0,8.8,-4.3,13.100000000000001,36.0,-1.5999999999999996,1.0,0.0,7.0
2010-01-07,AT05,99.0,62.0,4.4,-2.5,6.9,37.0,3.0,3.3000000000000003,-2.0,12.0
2010-01-07,AT06,100.0,53.0,5.9,-5.6,11.5,47.0,3.8000000000000007,2.6999999999999997,-2.0,-18.0
2010-01-07,AT07,100.0,40.0,5.0,-13.5,18.5,60.0,-0.8000000000000007,0.40000000000000036,-4.0,-9.0
2010-01-07,AT08,100.0,53.0,6.5,-1.8,8.3,47.0,1.0,-1.1,0.0,9.0
2010-01-08,AT01,99.0,39.0,9.4,-2.9,12.3,60.0,-0.5,-2.6,1.0,-9.0
2010-01-08,AT02,99.0,25.0,10.9,-15.0,25.9,74.0,-4.800000000000001,-0.9,7.0,29.0
2010-01-08,AT03,100.0,45.0,5.3,-8.3,13.600000000000001,55.0,3.400000000000002,1.4,-3.0,-24.0
2010-01-08,AT04,99.0,38.0,4.8,-7.7,12.5,61.0,0.6999999999999993,-0.7,1.0,-1.0
2010-01-08,AT05,100.0,26.0,4.8,-4.8,9.6,74.0,-2.1999999999999993,-0.19999999999999998,-1.0,9.0
2010-01-08,AT06,100.0,27.0,6.7,-7.1,13.8,73.0,-4.200000000000001,2.0,3.0,6.0
2010-01-08,AT07,100.0,19.0,3.9,-17.6,21.5,81.0,4.4,-0.30000000000000004,0.0,-2.0
2010-01-08,AT08,99.0,44.0,6.5,-6.3,12.8,55.0,-2.700000000000001,-0.9,0.0,-26.0
2010-01-09,AT01,97.0,29.0,8.3,-6.2,14.5,68.0,-0.1999999999999993,-3.8,-5.0,-4.0
2010-01-09,AT02,99.0,28.0,7.2,-14.8,22.0,71.0,-4.1,-0.8999999999999999,5.0,21.0
2010-01-09,AT03,93.0,31.0,8.0,-9.7,17.7,62.0,-3.8000000000000007,0.0,0.0,13.0
2010-01-09,AT04,95.0,33.0,6.0,-8.4,14.4,62.0,4.9,-1.7999999999999998,0.0,-16.0
2010-01-09,AT05,94.0,25.0,6.5,-6.3,12.8,69.0,-2.8000000000000007,-3.0,-1.0,-7.0
2010-01-09,AT06,97.0,23.0,6.1,-7.9,14.0,74.0,1.5999999999999996,2.5,1.0,11.0
2010-01-09,AT07,91.0,14.0,5.9,-17.7,23.6,77.0,-1.5,1.5,0.0,24.0
2010-01-09,AT08,96.0,32.0,7.3,-7.9,15.2,64.0,5.100000000000001,1.7999999999999998,-4.0,-27.0
2010-01-10,AT01,92.0,25.0,9.0,-6.2,15.2,67.0,3.3999999999999986,-1.2000000000000002,1.0,-8.0
2010-01-10,AT02,99.0,14.0,9.0,-11.7,20.7,85.0,-2.3999999999999986,2.2,3.0,0.0
2010-01-10,AT03,94.0,38.0,9.1,-7.8,16.9,56.0,3.5,-0.30000000000000004,-2.0,6.0
2010-01-10,AT04,94.0,29.0,9.8,-6.7,16.5,65.0,0.3000000000000007,0.0,1.0,-9.0
2010-01-10,AT05,93.0,35.0,6.6,-8.7,15.299999999999999,58.0,-0.40000000000000213,0.10000000000000009,-1.0,-6.0
2010-01-10,AT06,97.0,15.0,4.6,-9.3,13.9,82.0,0.6999999999999993,4.1,1.0,30.0
2010-01-10,AT07,100.0,4.0,3.9,-16.9,20.799999999999997,96.0,5.200000000000003,3.6,-1.0,-14.0
2010-01-10,AT08,97.0,40.0,8.6,-6.5,15.1,57.0,-5.600000000000001,2.0999999999999996,1.0,17.0
2010-01-11,AT01,93.0,33.0,9.8,-4.6,14.4,60.0,-1.6999999999999993,-1.5,1.0,28.0
2010-01-11,AT02,99.0,7.0,9.9,-9.7,19.6,92.0,3.8999999999999986,-1.3999999999999995,0.0,-39.0
2010-01-11,AT03,100.0,46.0,9.0,-6.2,15.2,54.0,-5.199999999999999,-0.20000000000000018,0.0,36.0
2010-01-11,AT04,98.0,46.0,9.6,-5.5,15.1,52.0,1.6000000000000014,0.5,0.0,-10.0
2010-01-11,AT05,97.0,55.0,7.1,-4.5,11.6,42.0,3.5,-1.1000000000000005,0.0,-43.0
2010-01-11,AT06,98.0,39.0,6.7,-7.7,14.4,59.0,1.0,-0.49999999999999956,-13.0,7.0
2010-01-11,AT07,100.0,6.0,4.5,-13.2,17.7,94.0,-2.0,-0.30000000000000027,7.0,15.0
2010-01-11,AT08,98.0,40.0,9.8,-4.2,14.0,58.0,-0.6000000000000014,-0.19999999999999973,6.0,-8.0
2010-01-12,AT01,100.0,48.0,9.6,-5.9,15.5,52.0,2.1000000000000014,0.10000000000000009,0.0,-9.0
2010-01-12,AT02,99.0,7.0,9.0,-9.3,18.3,92.0,-1.5,-0.40000000000000036,-3.0,3.0
2010-01-12,AT03,100.0,50.0,10.0,-6.3,16.3,50.0,-2.6000000000000014,-1.2999999999999998,3.0,12.0
2010-01-12,AT04,100.0,47.0,11.6,-3.9,15.5,53.0,3.3000000000000007,-1.0,0.0,-15.0
2010-01-12,AT05,100.0,67.0,4.8,-6.4,11.2,33.0,0.09999999999999787,1.3,-1.0,10.0
2010-01-12,AT06,100.0,17.0,6.9,-8.8,15.700000000000001,83.0,-3.799999999999997,-0.40000000000000013,1.0,13.0
